,Name,ID,Badge,Reviewed,Disc Percent,Qty Sold,Original Price,Final Price,Avg Rating,Prod URL,Shop Name,Shop ID,Shop City,Shop URL
250,Rexus Mouse Gaming Xierra X8,316566499,Official Store,630,17,1000,179000,149000,4.9,https://www.tokopedia.com/rexusid/rexus-mouse-gaming-xierra-x8?whid=5931369,Rexus Official Store,2411749,Jakarta Selatan,https://www.tokopedia.com/rexusid
251,Rexus Mousepad Gaming Kvlar T1,203112510,Official Store,1257,18,0,79000,65000,5.0,https://www.tokopedia.com/rexusid/rexus-mousepad-gaming-kvlar-t1-1?whid=5931369,Rexus Official Store,2411749,Jakarta Selatan,https://www.tokopedia.com/rexusid
252,Mousepad Gaming HP MP7035 - Size 70x35CM,479232236,Official Store,1513,19,0,110000,89000,4.9,https://www.tokopedia.com/setofficial/mousepad-gaming-hp-mp7035-size-70x35cm?whid=9767451,SET Gaming Gear Official,3141137,Medan,https://www.tokopedia.com/setofficial
253,Rexus Mouse Wireless Office Q20 Silent Click,778784743,Official Store,1971,40,0,109000,65000,4.9,https://www.tokopedia.com/rexusid/rexus-mouse-wireless-office-q20-silent-click-hitam?whid=5931369,Rexus Official Store,2411749,Jakarta Selatan,https://www.tokopedia.com/rexusid
254,Logitech G304 Lightspeed Mouse Gaming Wireless Sensor 12K DPI,1159119976,Official Store,4677,27,0,699000,509000,5.0,https://www.tokopedia.com/logitech-g/logitech-g304-lightspeed-mouse-gaming-wireless-sensor-12k-dpi-hitam?whid=10937518,Logitech G Official,2670965,Bandung,https://www.tokopedia.com/logitech-g
255,Logitech G300s Mouse Gaming Wired Optical RGB with Macro,234074117,Official Store,3779,43,0,349000,199000,4.9,https://www.tokopedia.com/logitech-g/logitech-g300s-mouse-gaming-wired-optical-rgb-with-macro?whid=10937518,Logitech G Official,2670965,Bandung,https://www.tokopedia.com/logitech-g
256,Mouse Gaming AULA S20 – 2400DPI RGB Driver Macro Software,1068037119,Official Store,1273,36,0,140000,89000,4.9,https://www.tokopedia.com/aula-official/mouse-gaming-aula-s20-2400dpi-rgb-driver-macro-software?whid=12606980,Aula Official Store,2821709,Kab. Sidoarjo,https://www.tokopedia.com/aula-official
257,Lenovo Legion Mouse Pad Size M,1688163752,Official Store,86,27,139,149000,109000,4.9,https://www.tokopedia.com/lenovo-official/lenovo-legion-mouse-pad-size-m?whid=5931369,Lenovo Official,2411241,Jakarta Selatan,https://www.tokopedia.com/lenovo-official
258,Mousepad Gaming HP MP3524 - Size 35x24CM,479234497,Official Store,1299,30,0,70000,49000,4.9,https://www.tokopedia.com/setofficial/mousepad-gaming-hp-mp3524-size-35x24cm?whid=12229825,SET Gaming Gear Official,3141137,Palembang,https://www.tokopedia.com/setofficial
259,"Logitech B170 Mouse Wireless untuk Windows, Mac, Linux dan ChromeOS",732847917,Official Store,5690,36,0,159000,102000,4.9,https://www.tokopedia.com/logitech/logitech-b170-mouse-wireless-untuk-windows-mac-linux-dan-chromeos?whid=5931369,Logitech Official Store,2642798,Jakarta Selatan,https://www.tokopedia.com/logitech
260,Rexus Mousepad Gaming Kvlar T7 Speed Edition L,412374490,Official Store,790,28,0,79000,57000,4.9,https://www.tokopedia.com/rexusid/rexus-mousepad-gaming-kvlar-t7-speed-edition-l?whid=5931369,Rexus Official Store,2411749,Jakarta Selatan,https://www.tokopedia.com/rexusid
261,Razer Viper Mini,1334585592,Official Store,958,44,0,885000,499000,5.0,https://www.tokopedia.com/razer/razer-viper-mini?whid=11043117,Razer Flagship Store,2207588,Surabaya,https://www.tokopedia.com/razer
262,Rexus Mousepad Gaming Kvlar T5,282967581,Official Store,3147,41,0,54000,32000,4.9,https://www.tokopedia.com/rexusid/rexus-mousepad-gaming-kvlar-t5?whid=5931369,Rexus Official Store,2411749,Jakarta Selatan,https://www.tokopedia.com/rexusid
263,Mouse Gaming AULA Wireless SC-300 Rechargeable Lithium battery 2.4GHz,409158713,Official Store,539,75,0,750000,189000,4.9,https://www.tokopedia.com/aula-official/mouse-gaming-aula-wireless-sc-300-rechargeable-lithium-battery-2-4ghz?whid=5931369,Aula Official Store,2821709,Jakarta Selatan,https://www.tokopedia.com/aula-official
264,Razer Basilisk X HyperSpeed,1332589909,Official Store,626,0,914,0,1175000,5.0,https://www.tokopedia.com/razer/razer-basilisk-x-hyperspeed?whid=5931369,Razer Flagship Store,2207588,Jakarta Selatan,https://www.tokopedia.com/razer
265,Logitech MK215 Combo Keyboard dan Mouse Wireless Compact,292158625,Official Store,5124,24,0,299000,226000,4.9,https://www.tokopedia.com/logitech/logitech-mk215-combo-keyboard-dan-mouse-wireless-compact?whid=5931369,Logitech Official Store,2642798,Jakarta Selatan,https://www.tokopedia.com/logitech
266,Razer DeathAdder Essential White - Essential Gaming Mouse,1959042553,Official Store,810,58,0,595000,249000,5.0,https://www.tokopedia.com/razer/razer-deathadder-essential-white-essential-gaming-mouse?whid=11043117,Razer Flagship Store,2207588,Surabaya,https://www.tokopedia.com/razer
267,Mouse Gaming/ Gaming Mouse Terlaris HP M160 - USB 1000DPI RGB 3 Button,1461048616,Official Store,2321,58,0,140000,59000,4.9,https://www.tokopedia.com/setofficial/mouse-gaming-gaming-mouse-terlaris-hp-m160-usb-1000dpi-rgb-3-button-hitam?whid=12229825,SET Gaming Gear Official,3141137,Palembang,https://www.tokopedia.com/setofficial
268,Mouse pad SLEC M6 anti slip / waterproof,1787568113,Official Store,682,37,1200,79000,49750,5.0,https://www.tokopedia.com/slec-official/mouse-pad-slec-m6-anti-slip-waterproof-speed-type?whid=12229825,SLEC Official Store,3192998,Jakarta Utara,https://www.tokopedia.com/slec-official
269,Logitech G402 Hyperion Fury Mouse Gaming Wired Ultra-Fast FPS,225305443,Official Store,1442,45,0,729000,399000,5.0,https://www.tokopedia.com/logitech-g/logitech-g402-hyperion-fury-mouse-gaming-wired-ultra-fast-fps?whid=10937518,Logitech G Official,2670965,Bandung,https://www.tokopedia.com/logitech-g
270,Mouse Wireless Rexus Office Q30 Silent Mouse,2036424305,Official Store,258,59,518,119000,49000,4.9,https://www.tokopedia.com/suryaecomm/mouse-wireless-rexus-office-q30-silent-mouse-hitam?whid=10937518,Surya Mitra Online,4520156,Surabaya,https://www.tokopedia.com/suryaecomm
271,Mouse USB Logitech M90,424159251,Official Store,770,0,0,0,42500,4.9,https://www.tokopedia.com/dbclick/mouse-usb-logitech-m90?whid=13204860,dbclick,3088530,Jakarta Utara,https://www.tokopedia.com/dbclick
272,Logitech G102 Lightsync Gaming Mouse [FS],2026818430,Official Store,2104,38,0,379000,235000,4.9,https://www.tokopedia.com/logitech-g/logitech-g102-lightsync-gaming-mouse-fs-hitam?whid=13204860,Logitech G Official,2670965,Jakarta Pusat,https://www.tokopedia.com/logitech-g
